Ref,Val,Package,PosX,PosY,Rot,Side
"SW4","A","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",132.500000,-160.350000,0.000000,top
"SW5","B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",127.000000,-176.000000,0.000000,top
"SW6","Start","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",75.250000,-160.000000,0.000000,top
"SW7","Select","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",110.250000,-160.000000,0.000000,top
"SW8","Menu","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",92.750000,-160.000000,0.000000,top
"U4","IRM-H638T-TR2-DX","IRM-H638T-TR2-DX",93.500000,-74.500000,90.000000,top
"U14","TSX073G50D-250","SW-SMD_TSX073G50D1-250",60.450000,-167.000000,45.000000,top
